fold,n_samples,sharpe_base,sharpe_meta,calibrated,improvement_pct,dir_accuracy,mean_return_base,std_return_base,mean_return_meta,std_return_meta,mean_meta_proba
1,800,1.5792659632524217,1.5813243916570958,False,0.13034083254950257,0.51375,0.000996463581572634,0.01001627929197329,0.0007168718836557981,0.007196492014115298,0.7158756388487708
2,800,1.0565253512272044,1.076314041415394,False,1.872997194549475,0.545,0.0005076576559410993,0.007627659329999177,0.00028980891617231305,0.004274378798846387,0.5573456905767705
3,800,1.3154040461627365,1.5374199661443657,False,16.87815395043739,0.52125,0.0007029141312759146,0.008482880936002532,0.0004239639779216986,0.00437760641255454,0.4912708094943322
4,800,0.8685732070225887,0.8612703200979137,False,-0.8407911809424573,0.505,0.0005780245905176737,0.010564286159128113,0.00034329784581927665,0.006327495824252317,0.5968205770393753
5,800,1.5670796217328715,1.5699133298928873,False,0.18082732496274012,0.51625,0.0009507603076251858,0.009631196636808682,0.0006312585590172186,0.0063831033026052544,0.661625553383392
